('SK1000', 'FCO', 'MXP', '20:07', '21:26', 'A320neo'),
('SK1090', 'VCE', 'FCO', '08:49', '09:53', 'A320neo'),
('SK1091', 'VCE', 'FCO', '20:21', '21:25', 'A320neo'),
('SK1092', 'VCE', 'FCO', '03:18', '04:22', 'A320neo'),
('SK1093', 'VCE', 'MXP', '13:10', '13:53', 'A320neo'),
('SK1094', 'VCE', 'MXP', '14:00', '14:43', 'A320neo'),
('SK1095', 'VCE', 'MXP', '23:56', '00:39', 'A320neo'),
('SK1096', 'VCE', 'NAP', '23:16', '00:39', 'A320neo'),
('SK1097', 'VCE', 'NAP', '16:48', '18:11', 'A320neo'),
('SK1098', 'VCE', 'NAP', '05:32', '06:55', 'A320neo'),
('SK1099', 'VCE', 'TRN', '03:55', '04:52', 'A320neo'),
('SK1100', 'VCE', 'TRN', '20:19', '21:16', 'A320neo'),
('SK1101', 'VCE', 'TRN', '20:32', '21:29', 'A320neo'),
('SK1102', 'VCE', 'BRI', '19:12', '20:45', 'A320neo'),
('SK1103', 'VCE', 'BRI', '04:23', '05:56', 'A320neo'),
('SK1104', 'VCE', 'BRI', '05:34', '07:07', 'A320neo'),
('SK1105', 'VCE', 'CDG', '16:58', '18:49', 'A320neo'),
('SK1106', 'VCE', 'CDG', '00:38', '02:29', 'A320neo'),
('SK1107', 'VCE', 'LHR', '10:31', '12:42', 'A320neo'),
('SK1108', 'VCE', 'LHR', '00:07', '02:18', 'A320neo'),
('SK1109', 'VCE', 'AMS', '11:56', '13:43', 'A320neo'),
('SK1110', 'VCE', 'AMS', '09:15', '11:02', 'A320neo'),
('SK1111', 'VCE', 'FRA', '01:15', '02:44', 'A320neo'),
('SK1112', 'VCE', 'FRA', '18:05', '19:34', 'A320neo'),
('SK1113', 'VCE', 'BCN', '02:46', '04:35', 'A320neo'),
('SK1114', 'VCE', 'BCN', '15:52', '17:41', 'A320neo'),
('SK1115', 'VCE', 'VIE', '02:48', '03:55', 'A320neo'),
('SK1116', 'VCE', 'VIE', '17:49', '18:56', 'A320neo'),
('SK1117', 'VCE', 'CPH', '04:08', '06:17', 'A320neo'),
('SK1118', 'VCE', 'CPH', '21:30', '23:39', 'A320neo'),
('SK1119', 'VCE', 'OSL', '17:10', '19:42', 'A320neo'),
('SK1120', 'VCE', 'OSL', '08:33', '11:05', 'A320neo'),
('SK1121', 'VCE', 'ARN', '19:27', '21:57', 'A320neo'),
('SK1122', 'VCE', 'ARN', '06:59', '09:29', 'A320neo'),
('SK1123', 'VCE', 'DUB', '17:48', '20:20', 'A320neo'),
('SK1124', 'VCE', 'DUB', '23:44', '02:16', 'A320neo'),
('SK1125', 'VCE', 'ATH', '06:45', '09:07', 'A320neo'),
('SK1126', 'VCE', 'ATH', '09:25', '11:47', 'A320neo'),
('SK1127', 'VCE', 'JFK', '21:41', '05:48', 'B787'),
('SK1128', 'VCE', 'LAX', '11:28', '23:31', 'B787'),
('SK1129', 'VCE', 'YYZ', '16:28', '00:49', 'B787'),
('SK1130', 'VCE', 'GRU', '03:15', '15:03', 'B787'),
('SK1131', 'VCE', 'DXB', '07:04', '12:28', 'B787'),
('SK1132', 'VCE', 'NRT', '10:01', '21:39', 'B787'),
('SK1133', 'VCE', 'PEK', '18:35', '04:11', 'B787'),
('SK1134', 'VCE', 'ICN', '07:37', '18:11', 'B787'),
('SK1135', 'NAP', 'FCO', '07:00', '07:30', 'A320neo'),
('SK1136', 'NAP', 'FCO', '02:45', '03:15', 'A320neo'),
('SK1137', 'NAP', 'FCO', '20:03', '20:33', 'A320neo'),
('SK1138', 'NAP', 'MXP', '07:04', '08:51', 'A320neo'),
('SK1139', 'NAP', 'MXP', '01:55', '03:42', 'A320neo'),
('SK1140', 'NAP', 'MXP', '10:04', '11:51', 'A320neo'),
('SK1141', 'NAP', 'VCE', '16:15', '17:38', 'A320neo'),
('SK1142', 'NAP', 'VCE', '08:42', '10:05', 'A320neo'),
('SK1143', 'NAP', 'VCE', '15:13', '16:36', 'A320neo'),
('SK1144', 'NAP', 'TRN', '17:08', '19:00', 'A320neo'),
('SK1145', 'NAP', 'TRN', '23:59', '01:51', 'A320neo'),
('SK1146', 'NAP', 'TRN', '18:36', '20:28', 'A320neo'),
('SK1147', 'NAP', 'BRI', '15:15', '15:47', 'A320neo'),
('SK1148', 'NAP', 'BRI', '15:51', '16:23', 'A320neo'),
('SK1149', 'NAP', 'BRI', '13:12', '13:44', 'A320neo'),
('SK1150', 'NAP', 'CDG', '03:06', '05:09', 'A320neo'),
('SK1151', 'NAP', 'CDG', '21:27', '23:30', 'A320neo'),
('SK1152', 'NAP', 'LHR', '11:27', '13:58', 'A320neo'),
('SK1153', 'NAP', 'LHR', '13:29', '16:00', 'A320neo'),
('SK1154', 'NAP', 'AMS', '23:03', '01:22', 'A320neo'),
('SK1155', 'NAP', 'AMS', '21:41', '00:00', 'A320neo'),
('SK1156', 'NAP', 'FRA', '20:06', '22:13', 'A320neo'),
('SK1157', 'NAP', 'FRA', '01:25', '03:32', 'A320neo'),
('SK1158', 'NAP', 'BCN', '23:21', '01:18', 'A320neo'),
('SK1159', 'NAP', 'BCN', '03:15', '05:12', 'A320neo'),
('SK1160', 'NAP', 'VIE', '06:12', '07:46', 'A320neo'),
('SK1161', 'NAP', 'VIE', '17:28', '19:02', 'A320neo'),
('SK1162', 'NAP', 'CPH', '04:27', '07:00', 'A320neo'),
('SK1163', 'NAP', 'CPH', '05:17', '07:50', 'A320neo'),
('SK1164', 'NAP', 'OSL', '14:15', '17:33', 'A320neo'),
('SK1165', 'NAP', 'OSL', '02:28', '05:46', 'A320neo'),
('SK1166', 'NAP', 'ARN', '17:06', '20:21', 'A320neo'),
('SK1167', 'NAP', 'ARN', '01:41', '04:56', 'A320neo'),
('SK1168', 'NAP', 'DUB', '17:53', '21:06', 'A320neo'),
('SK1169', 'NAP', 'DUB', '00:05', '03:18', 'A320neo'),
('SK1170', 'NAP', 'ATH', '07:10', '08:52', 'A320neo'),
('SK1171', 'NAP', 'ATH', '13:31', '15:13', 'A320neo'),
('SK1172', 'NAP', 'JFK', '15:13', '23:49', 'B787'),
('SK1173', 'NAP', 'LAX', '12:57', '01:36', 'B787'),
('SK1174', 'NAP', 'YYZ', '01:10', '10:02', 'B787'),
('SK1175', 'NAP', 'GRU', '12:00', '23:35', 'B787'),
('SK1176', 'NAP', 'DXB', '12:16', '17:19', 'B787'),
('SK1177', 'NAP', 'NRT', '14:18', '02:17', 'B787'),
('SK1178', 'NAP', 'PEK', '13:44', '23:34', 'B787'),
('SK1179', 'NAP', 'ICN', '23:50', '10:41', 'B787'),
('SK1180', 'TRN', 'FCO', '17:42', '19:04', 'A320neo'),
('SK1181', 'TRN', 'FCO', '22:31', '23:53', 'A320neo'),
('SK1182', 'TRN', 'FCO', '04:12', '05:34', 'A320neo'),
('SK1183', 'TRN', 'MXP', '09:13', '09:28', 'A320neo'),
('SK1184', 'TRN', 'MXP', '01:37', '01:52', 'A320neo'),
('SK1185', 'TRN', 'MXP', '23:34', '23:49', 'A320neo'),
('SK1186', 'TRN', 'VCE', '01:47', '02:44', 'A320neo'),
('SK1187', 'TRN', 'VCE', '10:03', '11:00', 'A320neo'),
('SK1188', 'TRN', 'VCE', '01:37', '02:34', 'A320neo'),
('SK1189', 'TRN', 'NAP', '15:32', '17:24', 'A320neo'),
('SK1190', 'TRN', 'NAP', '16:10', '18:02', 'A320neo'),
('SK1191', 'TRN', 'NAP', '01:32', '03:24', 'A320neo'),
('SK1192', 'TRN', 'BRI', '02:54', '04:33', 'A320neo'),
('SK1193', 'TRN', 'BRI', '05:04', '06:43', 'A320neo'),
('SK1194', 'TRN', 'BRI', '19:04', '20:43', 'A320neo'),
('SK1195', 'TRN', 'CDG', '21:55', '23:24', 'A320neo'),
('SK1196', 'TRN', 'CDG', '07:25', '08:54', 'A320neo'),
('SK1197', 'TRN', 'LHR', '03:56', '05:41', 'A320neo'),
('SK1198', 'TRN', 'LHR', '18:15', '20:00', 'A320neo'),
('SK1199', 'TRN', 'AMS', '18:38', '20:11', 'A320neo'),
('SK1200', 'TRN', 'AMS', '01:39', '03:12', 'A320neo'),
('SK1201', 'TRN', 'FRA', '02:26', '03:50', 'A320neo'),
('SK1202', 'TRN', 'FRA', '21:37', '23:01', 'A320neo'),
('SK1203', 'TRN', 'BCN', '18:33', '20:10', 'A320neo'),
('SK1204', 'TRN', 'BCN', '10:59', '12:36', 'A320neo'),
('SK1205', 'TRN', 'VIE', '08:13', '10:10', 'A320neo'),
('SK1206', 'TRN', 'VIE', '21:45', '23:42', 'A320neo'),
('SK1207', 'TRN', 'CPH', '10:15', '12:29', 'A320neo'),
('SK1208', 'TRN', 'CPH', '08:25', '10:39', 'A320neo'),
('SK1209', 'TRN', 'OSL', '04:42', '07:18', 'A320neo'),
('SK1210', 'TRN', 'OSL', '20:19', '22:55', 'A320neo'),
('SK1211', 'TRN', 'ARN', '14:20', '17:02', 'A320neo'),
('SK1212', 'TRN', 'ARN', '02:00', '04:42', 'A320neo'),
('SK1213', 'TRN', 'DUB', '14:39', '16:48', 'A320neo'),
('SK1214', 'TRN', 'DUB', '18:06', '20:15', 'A320neo'),
('SK1215', 'TRN', 'ATH', '02:34', '05:04', 'A320neo'),
('SK1216', 'TRN', 'ATH', '06:32', '09:02', 'A320neo'),
('SK1217', 'TRN', 'JFK', '08:08', '15:53', 'B787'),
('SK1218', 'TRN', 'LAX', '11:56', '23:43', 'B787'),
('SK1219', 'TRN', 'YYZ', '02:56', '10:56', 'B787'),
('SK1220', 'TRN', 'GRU', '07:23', '18:49', 'B787'),
('SK1221', 'TRN', 'DXB', '09:10', '14:59', 'B787'),
('SK1222', 'TRN', 'NRT', '14:53', '02:50', 'B787'),
('SK1223', 'TRN', 'PEK', '17:45', '03:43', 'B787'),
('SK1224', 'TRN', 'ICN', '09:39', '20:34', 'B787'),
('SK1225', 'BRI', 'FCO', '20:33', '21:32', 'A320neo'),
('SK1226', 'BRI', 'FCO', '00:42', '01:41', 'A320neo'),
('SK1227', 'BRI', 'FCO', '17:19', '18:18', 'A320neo'),
('SK1228', 'BRI', 'MXP', '21:06', '22:39', 'A320neo'),
('SK1229', 'BRI', 'MXP', '04:16', '05:49', 'A320neo'),
('SK1230', 'BRI', 'MXP', '03:56', '05:29', 'A320neo'),
('SK1231', 'BRI', 'VCE', '03:47', '05:20', 'A320neo'),
('SK1232', 'BRI', 'VCE', '17:09', '18:42', 'A320neo'),
('SK1233', 'BRI', 'VCE', '08:18', '09:51', 'A320neo'),
('SK1234', 'BRI', 'NAP', '19:13', '19:45', 'A320neo'),
('SK1235', 'BRI', 'NAP', '22:21', '22:53', 'A320neo'),
('SK1236', 'BRI', 'NAP', '06:43', '07:15', 'A320neo'),
('SK1237', 'BRI', 'TRN', '20:54', '22:33', 'A320neo'),
('SK1238', 'BRI', 'TRN', '08:32', '10:11', 'A320neo'),
('SK1239', 'BRI', 'TRN', '15:16', '16:55', 'A320neo'),
('SK1240', 'BRI', 'CDG', '01:05', '03:20', 'A320neo'),
('SK1241', 'BRI', 'CDG', '20:27', '22:42', 'A320neo'),
('SK1242', 'BRI', 'LHR', '08:02', '10:44', 'A320neo'),
('SK1243', 'BRI', 'LHR', '00:21', '03:03', 'A320neo'),
('SK1244', 'BRI', 'AMS', '04:40', '07:07', 'A320neo'),
('SK1245', 'BRI', 'AMS', '08:10', '10:37', 'A320neo'),
('SK1246', 'BRI', 'FRA', '23:28', '01:42', 'A320neo'),
('SK1247', 'BRI', 'FRA', '17:45', '19:59', 'A320neo'),
('SK1248', 'BRI', 'BCN', '13:35', '15:51', 'A320neo'),
('SK1249', 'BRI', 'BCN', '00:07', '02:23', 'A320neo'),
('SK1250', 'BRI', 'VIE', '02:56', '04:56', 'A320neo'),
('SK1251', 'BRI', 'VIE', '22:57', '00:57', 'A320neo'),
('SK1252', 'BRI', 'CPH', '04:34', '07:06', 'A320neo'),
('SK1253', 'BRI', 'CPH', '01:53', '04:25', 'A320neo'),
('SK1254', 'BRI', 'OSL', '11:37', '14:57', 'A320neo'),
('SK1255', 'BRI', 'OSL', '17:09', '20:29', 'A320neo'),
('SK1256', 'BRI', 'ARN', '13:08', '16:20', 'A320neo'),
('SK1257', 'BRI', 'ARN', '01:19', '04:31', 'A320neo'),
('SK1258', 'BRI', 'DUB', '11:57', '15:21', 'A320neo'),
('SK1259', 'BRI', 'DUB', '01:57', '05:21', 'A320neo'),
('SK1260', 'BRI', 'ATH', '11:13', '13:03', 'A320neo'),
('SK1261', 'BRI', 'ATH', '21:15', '23:05', 'A320neo'),
('SK1262', 'BRI', 'JFK', '21:06', '05:54', 'B787'),
('SK1263', 'BRI', 'LAX', '11:49', '00:36', 'B787'),
('SK1264', 'BRI', 'YYZ', '17:56', '02:59', 'B787'),
('SK1265', 'BRI', 'GRU', '13:39', '01:27', 'B787'),
('SK1266', 'BRI', 'DXB', '23:09', '05:18', 'B787'),
('SK1267', 'BRI', 'NRT', '07:55', '19:42', 'B787'),
('SK1268', 'BRI', 'PEK', '05:51', '15:28', 'B787'),
('SK1269', 'BRI', 'ICN', '05:56', '16:34', 'B787'),
('SK1270', 'CDG', 'FCO', '13:01', '15:07', 'A320neo'),
('SK1271', 'CDG', 'MXP', '05:47', '07:19', 'A320neo'),
('SK1272', 'CDG', 'VCE', '10:50', '12:41', 'A320neo'),
('SK1273', 'CDG', 'NAP', '13:51', '15:54', 'A320neo'),
('SK1274', 'CDG', 'TRN', '21:55', '23:24', 'A320neo'),
('SK1275', 'CDG', 'BRI', '23:51', '02:06', 'A320neo'),
('SK1276', 'CDG', 'LHR', '07:17', '08:10', 'A320neo'),
('SK1277', 'CDG', 'AMS', '05:50', '06:51', 'A320neo'),
('SK1278', 'CDG', 'FRA', '22:06', '23:15', 'A320neo'),
('SK1279', 'CDG', 'BCN', '12:55', '14:33', 'A320neo'),
('SK1280', 'CDG', 'VIE', '01:54', '03:52', 'A320neo'),
('SK1281', 'CDG', 'CPH', '15:14', '17:09', 'A320neo'),
('SK1282', 'CDG', 'OSL', '06:52', '09:01', 'A320neo'),
('SK1283', 'CDG', 'ARN', '14:22', '16:49', 'A320neo'),
('SK1284', 'CDG', 'DUB', '09:52', '11:53', 'A320neo'),
('SK1285', 'CDG', 'ATH', '07:14', '10:30', 'A320neo'),
('SK1286', 'CDG', 'JFK', '00:42', '07:48', 'B787'),
('SK1287', 'CDG', 'LAX', '06:25', '17:30', 'B787'),
('SK1288', 'CDG', 'YYZ', '10:17', '17:37', 'B787'),
('SK1289', 'CDG', 'GRU', '02:49', '14:16', 'B787'),
('SK1290', 'CDG', 'DXB', '08:22', '14:45', 'B787'),
('SK1291', 'CDG', 'NRT', '20:32', '08:20', 'B787'),
('SK1292', 'CDG', 'PEK', '12:43', '22:41', 'B787'),
('SK1293', 'CDG', 'ICN', '17:21', '04:13', 'B787'),
('SK1294', 'LHR', 'FCO', '00:07', '02:25', 'A320neo'),
('SK1295', 'LHR', 'MXP', '08:11', '09:58', 'A320neo'),
('SK1296', 'LHR', 'VCE', '18:16', '20:27', 'A320neo'),
('SK1297', 'LHR', 'NAP', '01:06', '03:37', 'A320neo'),
('SK1298', 'LHR', 'TRN', '19:27', '21:12', 'A320neo'),
('SK1299', 'LHR', 'BRI', '11:46', '14:28', 'A320neo'),
('SK1300', 'LHR', 'CDG', '10:27', '11:20', 'A320neo'),
('SK1301', 'LHR', 'AMS', '19:32', '20:29', 'A320neo'),
('SK1302', 'LHR', 'FRA', '03:24', '05:05', 'A320neo'),
('SK1303', 'LHR', 'BCN', '18:12', '20:23', 'A320neo'),
('SK1304', 'LHR', 'VIE', '08:02', '10:23', 'A320neo'),
('SK1305', 'LHR', 'CPH', '22:27', '00:19', 'A320neo'),
('SK1306', 'LHR', 'OSL', '00:33', '02:51', 'A320neo'),
('SK1307', 'LHR', 'ARN', '17:43', '20:02', 'A320neo'),
('SK1308', 'LHR', 'DUB', '23:47', '00:56', 'A320neo'),
('SK1309', 'LHR', 'ATH', '23:42', '03:28', 'A320neo'),
('SK1310', 'LHR', 'JFK', '06:23', '13:08', 'B787'),
('SK1311', 'LHR', 'LAX', '13:04', '19:49', 'B787'),
('SK1312', 'LHR', 'YYZ', '21:58', '04:55', 'B787'),
('SK1313', 'LHR', 'GRU', '10:39', '22:10', 'B787'),
('SK1314', 'LHR', 'DXB', '10:42', '17:23', 'B787'),
('SK1315', 'LHR', 'NRT', '03:46', '15:23', 'B787'),
('SK1316', 'LHR', 'PEK', '09:32', '19:28', 'B787'),
('SK1317', 'LHR', 'ICN', '09:42', '20:29', 'B787'),
('SK1318', 'AMS', 'FCO', '13:20', '15:24', 'A320neo'),
('SK1319', 'AMS', 'MXP', '12:44', '14:47', 'A320neo'),
('SK1320', 'AMS', 'VCE', '09:35', '11:22', 'A320neo'),
('SK1321', 'AMS', 'NAP', '04:12', '06:31', 'A320neo'),
('SK1322', 'AMS', 'TRN', '13:42', '15:15', 'A320neo'),
('SK1323', 'AMS', 'BRI', '12:43', '15:10', 'A320neo'),
('SK1324', 'AMS', 'CDG', '23:57', '00:58', 'A320neo'),
('SK1325', 'AMS', 'LHR', '05:39', '06:36', 'A320neo'),
('SK1326', 'AMS', 'FRA', '18:19', '19:15', 'A320neo'),
('SK1327', 'AMS', 'BCN', '12:35', '14:53', 'A320neo'),
('SK1328', 'AMS', 'VIE', '00:19', '02:09', 'A320neo'),
('SK1329', 'AMS', 'CPH', '09:13', '10:51', 'A320neo'),
('SK1330', 'AMS', 'OSL', '13:50', '15:40', 'A320neo'),
('SK1331', 'AMS', 'ARN', '18:38', '20:50', 'A320neo'),
('SK1332', 'AMS', 'DUB', '20:20', '22:16', 'A320neo'),
('SK1333', 'AMS', 'ATH', '14:28', '17:51', 'A320neo'),
('SK1334', 'AMS', 'JFK', '14:43', '21:50', 'B787'),
('SK1335', 'AMS', 'LAX', '06:32', '17:26', 'B787'),
('SK1336', 'AMS', 'YYZ', '15:50', '23:07', 'B787'),
('SK1337', 'AMS', 'GRU', '23:10', '11:04', 'B787'),
('SK1338', 'AMS', 'DXB', '21:05', '03:22', 'B787'),
('SK1339', 'AMS', 'NRT', '09:32', '20:42', 'B787'),
('SK1340', 'AMS', 'PEK', '21:40', '07:12', 'B787'),
('SK1341', 'AMS', 'ICN', '19:21', '05:46', 'B787'),
('SK1342', 'FRA', 'FCO', '02:52', '04:42', 'A320neo'),
('SK1343', 'FRA', 'MXP', '07:43', '08:59', 'A320neo'),
('SK1344', 'FRA', 'VCE', '09:14', '10:43', 'A320neo'),
('SK1345', 'FRA', 'NAP', '06:09', '08:16', 'A320neo'),
('SK1346', 'FRA', 'TRN', '00:02', '01:26', 'A320neo'),
('SK1347', 'FRA', 'BRI', '07:30', '09:44', 'A320neo'),
('SK1348', 'FRA', 'CDG', '19:54', '21:03', 'A320neo'),
('SK1349', 'FRA', 'LHR', '02:29', '04:10', 'A320neo'),
('SK1350', 'FRA', 'AMS', '13:56', '14:52', 'A320neo'),
('SK1351', 'FRA', 'BCN', '20:36', '22:41', 'A320neo'),
('SK1352', 'FRA', 'VIE', '06:45', '08:21', 'A320neo'),
('SK1353', 'FRA', 'CPH', '22:24', '00:09', 'A320neo'),
('SK1354', 'FRA', 'OSL', '15:25', '17:35', 'A320neo'),
('SK1355', 'FRA', 'ARN', '07:09', '09:25', 'A320neo'),
('SK1356', 'FRA', 'DUB', '20:44', '22:48', 'A320neo'),
('SK1357', 'FRA', 'ATH', '00:57', '03:46', 'A320neo'),
('SK1358', 'FRA', 'JFK', '03:49', '11:21', 'B787'),
('SK1359', 'FRA', 'LAX', '13:14', '00:35', 'B787'),
('SK1360', 'FRA', 'YYZ', '05:51', '13:34', 'B787'),
('SK1361', 'FRA', 'GRU', '22:33', '10:29', 'B787'),
('SK1362', 'FRA', 'DXB', '14:03', '19:57', 'B787'),
('SK1363', 'FRA', 'NRT', '17:15', '04:38', 'B787'),
('SK1364', 'FRA', 'PEK', '03:29', '12:58', 'B787'),
('SK1365', 'FRA', 'ICN', '04:51', '15:15', 'B787'),
('SK1366', 'BCN', 'FCO', '14:42', '16:19', 'A320neo'),
('SK1367', 'BCN', 'MXP', '16:35', '18:26', 'A320neo'),
('SK1368', 'BCN', 'VCE', '19:20', '21:09', 'A320neo'),
('SK1369', 'BCN', 'NAP', '14:39', '16:36', 'A320neo'),
('SK1370', 'BCN', 'TRN', '23:57', '01:34', 'A320neo'),
('SK1371', 'BCN', 'BRI', '16:27', '18:43', 'A320neo'),
('SK1372', 'BCN', 'CDG', '17:28', '19:06', 'A320neo'),
('SK1373', 'BCN', 'LHR', '05:47', '07:58', 'A320neo'),
('SK1374', 'BCN', 'AMS', '15:28', '17:46', 'A320neo'),
('SK1375', 'BCN', 'FRA', '08:48', '10:53', 'A320neo'),
('SK1376', 'BCN', 'VIE', '07:53', '10:03', 'A320neo'),
('SK1377', 'BCN', 'CPH', '20:17', '23:01', 'A320neo'),
('SK1378', 'BCN', 'OSL', '16:31', '19:55', 'A320neo'),
('SK1379', 'BCN', 'ARN', '20:15', '23:50', 'A320neo'),
('SK1380', 'BCN', 'DUB', '08:28', '10:50', 'A320neo'),
